,spot,x,y,rmse,pcc,snr,model,cvFold
16x10,16x10,16,10,0.9855869260620729,0.5504758666656764,3.222992201472726,mcImpute,3
16x11,16x11,16,11,0.9401394359847719,0.5108071431692243,3.320745224261824,mcImpute,3
16x15,16x15,16,15,0.921160110568463,0.443404433068198,3.4084674091117013,mcImpute,3
16x17,16x17,16,17,1.0206069126483368,0.39092509275296294,3.3199807978139355,mcImpute,3
16x18,16x18,16,18,0.9991642687695084,0.41967204239137246,3.28755914375265,mcImpute,3
16x19,16x19,16,19,0.9358243825605648,0.45440982851320144,3.365647583549519,mcImpute,3
16x20,16x20,16,20,0.9671832777601651,0.439095170906262,3.252692262969476,mcImpute,3
16x21,16x21,16,21,0.8567970284985635,0.42154434046313616,3.477800446686381,mcImpute,3
16x22,16x22,16,22,0.9202879280976043,0.4062966100058586,3.3626238049649477,mcImpute,3
16x23,16x23,16,23,1.1590460162626337,0.7112256521040348,3.144182470557764,mcImpute,3
16x24,16x24,16,24,1.0129443743911672,0.4407345494487479,3.2282365982670878,mcImpute,3
16x25,16x25,16,25,1.0415488717812829,0.686591239542545,3.2181898651361287,mcImpute,3
16x26,16x26,16,26,0.8702281266098699,0.4358396531392165,3.5387553056120638,mcImpute,3
16x27,16x27,16,27,0.919729480607084,0.45377212862518995,3.377421076820416,mcImpute,3
16x28,16x28,16,28,1.0237499895894966,0.5033570246946827,3.1697272309449884,mcImpute,3
16x30,16x30,16,30,0.9687988704597819,0.47018098705745115,3.235717350153863,mcImpute,3
16x9,16x9,16,9,1.0008783185975936,0.5335337637541522,3.203339023522582,mcImpute,3
17x10,17x10,17,10,0.9532556953824775,0.4670889251121544,3.3058433268943483,mcImpute,3
17x11,17x11,17,11,0.9986971937876941,0.564258994630007,3.2353145571619955,mcImpute,3
17x14,17x14,17,14,0.910972718873815,0.47442069147399,3.4257968297809622,mcImpute,3
17x15,17x15,17,15,0.938605787461954,0.4131120286946556,3.3532637344729572,mcImpute,3
17x16,17x16,17,16,0.8633345221896721,0.4724741379154145,3.5690967388193324,mcImpute,3
17x17,17x17,17,17,0.9187071046662719,0.4302891584279543,3.3868382291617567,mcImpute,3
17x18,17x18,17,18,0.976150811471348,0.45116402846736836,3.246291028268697,mcImpute,3
17x19,17x19,17,19,0.9406073245852128,0.4324970872641926,3.295640527483149,mcImpute,3
17x20,17x20,17,20,0.9825224382015737,0.4386661503815955,3.199745805070386,mcImpute,3
17x21,17x21,17,21,1.0053323786123685,0.48711597280968255,3.184396233440847,mcImpute,3
17x22,17x22,17,22,1.0056246902471928,0.41302357330496475,3.1921121489406055,mcImpute,3
17x23,17x23,17,23,1.0547250156373156,0.5908331001442475,3.174651654908477,mcImpute,3
17x24,17x24,17,24,0.8562776810352513,0.42921411197109843,3.442510201845928,mcImpute,3
17x25,17x25,17,25,1.0721967144961646,0.42422639623125286,3.1815322895454505,mcImpute,3
17x26,17x26,17,26,1.0390794150492124,0.48365616856553323,3.1333285891622937,mcImpute,3
17x28,17x28,17,28,0.953424026115847,0.458276466032267,3.2896089854380453,mcImpute,3
17x29,17x29,17,29,0.9423306459868489,0.47996413296370577,3.299545103523498,mcImpute,3
17x30,17x30,17,30,0.9218389462066497,0.4668780927942437,3.3415570864490647,mcImpute,3
17x31,17x31,17,31,1.007991453924524,0.4818166051892915,3.2462327492759755,mcImpute,3
17x9,17x9,17,9,0.9936684341168116,0.60132509603282,3.2108344509748887,mcImpute,3
18x11,18x11,18,11,0.9855358218916573,0.4257626416036243,3.257411665849761,mcImpute,3
18x13,18x13,18,13,0.897015358357327,0.4459981356457328,3.4929170778697634,mcImpute,3
18x14,18x14,18,14,0.846045794151406,0.4578438674633669,3.5278714849391806,mcImpute,3
18x15,18x15,18,15,0.9589959241864527,0.41313799115214245,3.329497150303711,mcImpute,3
18x16,18x16,18,16,0.9796676685439333,0.45886557795772953,3.425734125546614,mcImpute,3
18x17,18x17,18,17,0.8642509450530264,0.42076447123200944,3.4746931614721106,mcImpute,3
18x18,18x18,18,18,0.8721687725746419,0.39838226139132116,3.4529519019288983,mcImpute,3
18x19,18x19,18,19,0.9382652505182464,0.5077184091372329,3.482285048933584,mcImpute,3
18x20,18x20,18,20,0.8790315185776091,0.4426063898368462,3.477263190810568,mcImpute,3
18x21,18x21,18,21,0.8804469109314879,0.4605060502460354,3.397831286990612,mcImpute,3
18x22,18x22,18,22,0.9373420610943625,0.47172369439143147,3.3109919357586888,mcImpute,3
18x23,18x23,18,23,0.881524830853688,0.44488188950933066,3.4465369135142696,mcImpute,3
18x24,18x24,18,24,1.0421918304501625,0.43769162446277415,3.2383474421634753,mcImpute,3
18x25,18x25,18,25,0.988306707845706,0.4175776622111119,3.246896340940236,mcImpute,3
18x26,18x26,18,26,0.9577357600924075,0.5902147350784384,3.2839674505456995,mcImpute,3
18x28,18x28,18,28,0.9548871645042819,0.44247751060109647,3.2798335796365246,mcImpute,3
18x29,18x29,18,29,1.0260842614037593,0.4586174293832291,3.1645419340342476,mcImpute,3
18x30,18x30,18,30,0.9560713774343478,0.489561586193367,3.252750762042869,mcImpute,3
18x31,18x31,18,31,0.9314597171977679,0.44718747305629003,3.2900408811795887,mcImpute,3
19x11,19x11,19,11,1.01534749983325,0.5378964761888155,3.1695201628933436,mcImpute,3
19x13,19x13,19,13,0.8229224579781822,0.4079629179908584,3.557531969113409,mcImpute,3
19x14,19x14,19,14,0.8545894121917166,0.43063758843123606,3.5347375065013953,mcImpute,3
19x15,19x15,19,15,0.934268695161654,0.4200938199706161,3.31347516341589,mcImpute,3
19x17,19x17,19,17,0.9394690786611687,0.399068943641699,3.300097955573595,mcImpute,3
19x18,19x18,19,18,0.9270264179942448,0.4471590408171453,3.3385274202500312,mcImpute,3
19x19,19x19,19,19,0.9565767767830896,0.45506429931974357,3.332523928103956,mcImpute,3
19x20,19x20,19,20,0.997706517532911,0.4254308654864805,3.209678213508327,mcImpute,3
19x21,19x21,19,21,0.9679223292493288,0.45468303278246264,3.284360969972549,mcImpute,3
19x22,19x22,19,22,0.982622713913728,0.47218869988309564,3.3391858694806524,mcImpute,3
